fixture_foundation_id,instance_index,class_path,x_cm,y_cm,z_cm,east_m,north_m,origin_elevation_m,foundation_height_m,top_elevation_m,quat_x,quat_y,quat_z,quat_w,scale_x,scale_y,scale_z,recipe_path,save_build,terrain_elevation_m,terrain_provenance_code,terrain_provenance_name,top_clearance_m,is_component_edge,is_ground_surface_sample,is_cliff_or_overhead_top_surface
fnd_0001,523,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-35199.99999513282,-500.0,-1512.0,351.9999999513282,-5.0,4.0,-3.0,0.0,-0.0,0.7071067811865475,0.7071067811865477,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-4.900000095367432,1,landscape,1.9000000953674316,True,True,False
fnd_0002,524,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-34399.99999513282,-500.0,-1512.0,343.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-5.400000095367432,1,landscape,2.4000000953674316,True,True,False
fnd_0003,525,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-34399.99999513282,-500.0,-1520.0,343.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-5.699999809265137,1,landscape,2.6999998092651367,True,True,False
fnd_0004,526,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-34399.99999513282,-500.0,-1528.0,343.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-5.599999904632568,1,landscape,2.5999999046325684,False,True,False
fnd_0005,527,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-33599.99999513282,-500.0,-1512.0,335.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-5.800000190734863,1,landscape,2.8000001907348633,True,True,False
fnd_0006,528,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-32799.99999513282,-500.0,-1512.0,327.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-5.900000095367432,1,landscape,2.9000000953674316,True,True,False
fnd_0007,529,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-31199.99999513282,-500.0,-1512.0,311.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-6.400000095367432,1,landscape,3.4000000953674316,True,True,False
fnd_0008,530,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-30399.99999513282,-500.0,-1512.0,303.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-6.199999809265137,1,landscape,3.1999998092651367,True,True,False
fnd_0009,531,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-29599.99999513282,-500.0,-1512.0,295.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-6.199999809265137,1,landscape,3.1999998092651367,True,True,False
fnd_0010,532,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-28799.99999513282,-500.0,-1512.0,287.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-6.099999904632568,1,landscape,3.0999999046325684,True,True,False
fnd_0011,533,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-33599.99999513282,-500.0,-1520.0,335.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-5.800000190734863,1,landscape,2.8000001907348633,False,True,False
fnd_0012,534,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-32799.99999513282,-500.0,-1520.0,327.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094,-5.800000190734863,1,landscape,2.8000001907348633,False,True,False
