path,layer,specificity
planning/model/confidence_states.csv,planner_model,generic
planning/model/district_phase_schema.csv,planner_model,generic
planning/model/expansion_policy_types.csv,planner_model,generic
planning/model/flow_relationship_types.csv,planner_model,generic
planning/model/spatial_relationship_types.csv,planner_model,generic
planning/model/storage_placement_types.csv,planner_model,generic
planning/model/storage_policy_types.csv,planner_model,generic
planning/strategies/rocky_relaxed_districted_v1/capacity_targets.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/commitment_ledger.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/district_phase_recipe_gates.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/district_phase_resources.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/district_phases.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/module_expansion_rules.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/module_flow_rules.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/module_phases.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/module_spatial_rules.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/production_edges.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/production_modules.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/profile.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/recipe_gates.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/recipe_preferences.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/rocky_desert_phase_summary.md,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/sites.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/storage_policies.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/storage_topology_rules.csv,strategy_profile,rocky/player-specific
planning/strategies/rocky_relaxed_districted_v1/transport_progression.csv,strategy_profile,rocky/player-specific
planning/plans/rocky_desert/README.md,world_plan,rocky/geography-specific
planning/plans/rocky_desert/capacity_targets.csv,world_plan,rocky/geography-specific
planning/plans/rocky_desert/resource_assignments.csv,world_plan,rocky/geography-specific
planning/plans/rocky_desert/sites.csv,world_plan,rocky/geography-specific
world/canonical/world_resource_sockets.csv,world_extraction,build-502094/fixed-geometry
world/configurations/default_502094/resource_assignments.csv,world_configuration,build-502094/default-world
world/canonical/exploration_pois.csv,world_extraction,build-502094/static
world/spatial/heightmap_build_502094/,world_extraction,build-502094/terrain-water
world/manifests/world_502094.json,world_extraction,build-502094/manifest
