schematic_id,display_name,choice_type,recipe_ids,tech_tier,dependency_schematic_ids,game_build_id
Schematic_Alternate_InventorySlots2_C,Inflated Pocket Dimension,inventory_expansion,,5,2_C,docs_a81d250e96aa
Schematic_Alternate_InventorySlots1_C,Inflated Pocket Dimension,inventory_expansion,,2,,docs_a81d250e96aa
Schematic_Alternate_Wire2_C,Alternate: Caterium Wire,recipe,Recipe_Alternate_Wire_2_C,3,Research_Caterium_0_C,docs_a81d250e96aa
Schematic_Alternate_Wire1_C,Alternate: Iron Wire,recipe,Recipe_Alternate_Wire_1_C,1,,docs_a81d250e96aa
Schematic_Alternate_UraniumCell1_C,Alternate: Infused Uranium Cell,recipe,Recipe_Alternate_UraniumCell_1_C,7,1_C;Research_Caterium_1_C;Research_Quartz_0_C;Research_Sulfur_0_C,docs_a81d250e96aa
Schematic_Alternate_TurboMotor1_C,Alternate: Turbo Electric Motor,recipe,Recipe_Alternate_TurboMotor_1_C,7,4_C;1_C,docs_a81d250e96aa
Schematic_Alternate_Stator_C,Alternate: Quickwire Stator,recipe,Recipe_Alternate_Stator_C,4,1_C;Research_Caterium_1_C,docs_a81d250e96aa
Schematic_Alternate_Silica_C,Alternate: Cheap Silica,recipe,Recipe_Alternate_Silica_C,4,Research_Quartz_1_2_C,docs_a81d250e96aa
Schematic_Alternate_Screw2_C,Alternate: Steel Screws,recipe,Recipe_Alternate_Screw_2_C,4,4_C,docs_a81d250e96aa
Schematic_Alternate_Screw_C,Alternate: Cast Screws,recipe,Recipe_Alternate_Screw_C,1,,docs_a81d250e96aa
Schematic_Alternate_Rotor_C,Alternate: Steel Rotor,recipe,Recipe_Alternate_Rotor_C,4,4_C,docs_a81d250e96aa
Schematic_Alternate_ReinforcedSteelPlate_C,Alternate: Encased Industrial Pipe,recipe,Recipe_Alternate_EncasedIndustrialBeam_C,4,1_C,docs_a81d250e96aa
Schematic_Alternate_ReinforcedIronPlate2_C,Alternate: Stitched Iron Plate,recipe,Recipe_Alternate_ReinforcedIronPlate_2_C,2,1_C,docs_a81d250e96aa
Schematic_Alternate_ReinforcedIronPlate1_C,Alternate: Bolted Iron Plate,recipe,Recipe_Alternate_ReinforcedIronPlate_1_C,2,1_C,docs_a81d250e96aa
Schematic_Alternate_RadioControlUnit1_C,Alternate: Radio Connection Unit,recipe,Recipe_Alternate_RadioControlUnit_1_C,7,2_C;Research_Caterium_4_1_C,docs_a81d250e96aa
Schematic_Alternate_Quickwire_C,Alternate: Fused Quickwire,recipe,Recipe_Alternate_Quickwire_C,3,Research_Caterium_1_C,docs_a81d250e96aa
