recipe_id,recipe_name,progression_cluster_id,eligibility_type,earliest_hub_prerequisite,provenance
cast_screws,Cast Screws,pre_tier_1_2,automatic_hub,No HUB milestone prerequisite,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
iron_wire,Iron Wire,pre_tier_1_2,automatic_hub,No HUB milestone prerequisite,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
stitched_iron_plate,Stitched Iron Plate,tier_1_2,automatic_hub,Part Assembly,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
bolted_iron_plate,Bolted Iron Plate,tier_1_2,automatic_hub,Part Assembly,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
bolted_frame,Bolted Frame,tier_1_2,automatic_hub,Part Assembly,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
copper_rotor,Copper Rotor,tier_1_2,automatic_hub,Part Assembly,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
wet_concrete,Wet Concrete,tier_3_4,automatic_hub,Coal Power,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
steamed_copper_sheet,Steamed Copper Sheet,tier_3_4,automatic_hub,Coal Power,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
charcoal,Charcoal,tier_3_4,automatic_hub,Coal Power,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
biocoal,Biocoal,tier_3_4,automatic_hub,Coal Power,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
solid_steel_ingot,Solid Steel Ingot,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
molded_steel_pipe,Molded Steel Pipe,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
steel_rotor,Steel Rotor,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
steeled_frame,Steeled Frame,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
copper_alloy_ingot,Copper Alloy Ingot,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
steel_screws,Steel Screws,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
molded_beam,Molded Beam,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
steel_rod,Steel Rod,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
iron_pipe,Iron Pipe,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
basic_iron_ingot,Basic Iron Ingot,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
iron_alloy_ingot,Iron Alloy Ingot,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
steel_cast_plate,Steel Cast Plate,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
automated_miner,Automated Miner,tier_3_4,automatic_hub,Basic Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
encased_industrial_pipe,Encased Industrial Pipe,tier_3_4,automatic_hub,Advanced Steel Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
heavy_oil_residue,Heavy Oil Residue,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
recycled_plastic,Recycled Plastic,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
recycled_rubber,Recycled Rubber,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
diluted_packaged_fuel,Diluted Packaged Fuel,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
pure_copper_ingot,Pure Copper Ingot,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
pure_iron_ingot,Pure Iron Ingot,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
electrode_circuit_board,Electrode Circuit Board,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
coke_steel_ingot,Coke Steel Ingot,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
coated_cable,Coated Cable,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
insulated_cable,Insulated Cable,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
adhered_iron_plate,Adhered Iron Plate,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
flexible_framework,Flexible Framework,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
coated_iron_plate,Coated Iron Plate,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rubber_concrete,Rubber Concrete,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
tempered_caterium_ingot,Tempered Caterium Ingot,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
tempered_copper_ingot,Tempered Copper Ingot,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
plastic_smart_plating,Plastic Smart Plating,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
polymer_resin,Polymer Resin,tier_5_6,automatic_hub,Oil Processing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
steel_canister,Steel Canister,tier_5_6,automatic_hub,Fluid Packaging,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
coated_iron_canister,Coated Iron Canister,tier_5_6,automatic_hub,Fluid Packaging,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
heavy_encased_frame,Heavy Encased Frame,tier_5_6,automatic_hub,Industrial Manufacturing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
heavy_flexible_frame,Heavy Flexible Frame,tier_5_6,automatic_hub,Industrial Manufacturing,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
sloppy_alumina,Sloppy Alumina,tier_7_8,automatic_hub,Bauxite Refinement,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
pure_aluminum_ingot,Pure Aluminum Ingot,tier_7_8,automatic_hub,Bauxite Refinement,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
electrode_aluminum_scrap,Electrode Aluminum Scrap,tier_7_8,automatic_hub,Bauxite Refinement,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
alclad_casing,Alclad Casing,tier_7_8,automatic_hub,Bauxite Refinement,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
aluminum_rod,Aluminum Rod,tier_7_8,automatic_hub,Bauxite Refinement,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
aluminum_beam,Aluminum Beam,tier_7_8,automatic_hub,Bauxite Refinement,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
instant_scrap,Instant Scrap,tier_7_8,automatic_hub,Bauxite Refinement,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
diluted_fuel,Diluted Fuel,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
classic_battery,Classic Battery,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
oc_supercomputer,OC Supercomputer,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
radio_control_system,Radio Control System,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
super_state_computer,Super-State Computer,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
leached_copper_ingot,Leached Copper Ingot,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
leached_caterium_ingot,Leached Caterium Ingot,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
leached_iron_ingot,Leached Iron Ingot,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
quartz_purification,Quartz Purification,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
distilled_silica,Distilled Silica,tier_7_8,automatic_hub,Bundled with Quartz Purification,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
turbo_blend_fuel,Turbo Blend Fuel,tier_7_8,automatic_hub,Control System Development,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
cooling_device,Cooling Device,tier_7_8,automatic_hub,Advanced Aluminum Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
heat_exchanger,Heat Exchanger,tier_7_8,automatic_hub,Advanced Aluminum Production,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
heat_fused_frame,Heat-Fused Frame,tier_7_8,automatic_hub,Particle Enrichment,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
electric_motor,Electric Motor,tier_7_8,automatic_hub,Nuclear Power,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
turbo_electric_motor,Turbo Electric Motor,tier_7_8,automatic_hub,Leading-Edge Production / Nuclear Power,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
turbo_pressure_motor,Turbo Pressure Motor,tier_7_8,automatic_hub,Particle Enrichment,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
fertile_uranium,Fertile Uranium,tier_7_8,automatic_hub,Particle Enrichment,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
instant_plutonium_cell,Instant Plutonium Cell,tier_7_8,automatic_hub,Particle Enrichment,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
plutonium_fuel_unit,Plutonium Fuel Unit,tier_7_8,automatic_hub,Particle Enrichment,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
oil_based_diamonds,Oil-Based Diamonds,tier_9,automatic_hub,Matter Conversion,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
cloudy_diamonds,Cloudy Diamonds,tier_9,automatic_hub,Matter Conversion,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
petroleum_diamonds,Petroleum Diamonds,tier_9,automatic_hub,Matter Conversion,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
pink_diamonds,Pink Diamonds,tier_9,automatic_hub,Matter Conversion,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
dark_matter_trap,Dark Matter Trap,tier_9,automatic_hub,Quantum Encoding,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
dark_matter_crystallization,Dark Matter Crystallization,tier_9,automatic_hub,Quantum Encoding,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
