recipe_id,direction,item_id,item_name,amount,amount_raw,unit,game_build_id
Recipe_AlienPowerBuilding_C,input,Desc_Cable_C,Cable,100.0,100,items,docs_a81d250e96aa
Recipe_AlienPowerBuilding_C,input,Desc_Computer_C,Computer,10.0,10,items,docs_a81d250e96aa
Recipe_AlienPowerBuilding_C,input,Desc_Motor_C,Motor,25.0,25,items,docs_a81d250e96aa
Recipe_AlienPowerBuilding_C,input,Desc_SAMFluctuator_C,SAM Fluctuator,50.0,50,items,docs_a81d250e96aa
Recipe_AlienPowerBuilding_C,input,Desc_SteelPlateReinforced_C,Encased Industrial Beam,50.0,50,items,docs_a81d250e96aa
Recipe_AlienPowerBuilding_C,input,Desc_WAT1_C,Somersloop,10.0,10,items,docs_a81d250e96aa
Recipe_AssemblerMk1_C,input,Desc_Cable_C,Cable,10.0,10,items,docs_a81d250e96aa
Recipe_AssemblerMk1_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,8.0,8,items,docs_a81d250e96aa
Recipe_AssemblerMk1_C,input,Desc_Rotor_C,Rotor,4.0,4,items,docs_a81d250e96aa
Recipe_Barrier_Corner_C,input,Desc_Cement_C,Concrete,1.0,1,items,docs_a81d250e96aa
Recipe_Barrier_Low_01_C,input,Desc_Cement_C,Concrete,1.0,1,items,docs_a81d250e96aa
Recipe_Barrier_Low_01_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_Barrier_Tall_01_C,input,Desc_Cement_C,Concrete,1.0,1,items,docs_a81d250e96aa
Recipe_Barrier_Tall_01_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_Beam_C,input,Desc_SteelPlate_C,Steel Beam,1.0,1,items,docs_a81d250e96aa
Recipe_Beam_Cable_C,input,Desc_SteelPlate_C,Steel Beam,1.0,1,items,docs_a81d250e96aa
Recipe_Beam_Cable_Cluster_C,input,Desc_SteelPlate_C,Steel Beam,1.0,1,items,docs_a81d250e96aa
Recipe_Beam_Concrete_C,input,Desc_Cement_C,Concrete,1.0,1,items,docs_a81d250e96aa
Recipe_Beam_Connector_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_Beam_Connector_Double_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_Beam_Cross_C,input,Desc_SteelPlate_C,Steel Beam,1.0,1,items,docs_a81d250e96aa
Recipe_Beam_H_C,input,Desc_SteelPlate_C,Steel Beam,1.0,1,items,docs_a81d250e96aa
Recipe_Beam_Painted_C,input,Desc_SteelPlate_C,Steel Beam,1.0,1,items,docs_a81d250e96aa
Recipe_Beam_Shelf_C,input,Desc_SteelPlate_C,Steel Beam,1.0,1,items,docs_a81d250e96aa
Recipe_Beam_Support_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_BigGarageDoor_16x8_C,input,Desc_Cement_C,Concrete,4.0,4,items,docs_a81d250e96aa
Recipe_BigGarageDoor_16x8_C,input,Desc_IronPlate_C,Iron Plate,4.0,4,items,docs_a81d250e96aa
Recipe_BigGarageDoor_16x8_Concrete_C,input,Desc_Cement_C,Concrete,8.0,8,items,docs_a81d250e96aa
Recipe_BigGarageDoor_16x8_Steel_C,input,Desc_Cement_C,Concrete,4.0,4,items,docs_a81d250e96aa
Recipe_BigGarageDoor_16x8_Steel_C,input,Desc_SteelPlate_C,Steel Beam,4.0,4,items,docs_a81d250e96aa
Recipe_Blender_C,input,Desc_AluminumCasing_C,Aluminum Casing,50.0,50,items,docs_a81d250e96aa
Recipe_Blender_C,input,Desc_Computer_C,Computer,10.0,10,items,docs_a81d250e96aa
Recipe_Blender_C,input,Desc_ModularFrameHeavy_C,Heavy Modular Frame,10.0,10,items,docs_a81d250e96aa
Recipe_Blender_C,input,Desc_Motor_C,Motor,20.0,20,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_C,input,Desc_Cable_C,Cable,25.0,25,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_C,input,Desc_Cement_C,Concrete,100.0,100,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_C,input,Desc_ModularFrame_C,Modular Frame,15.0,15,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_C,input,Desc_SteelPlate_C,Steel Beam,100.0,100,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_Mk2_C,input,Desc_Cement_C,Concrete,100.0,100,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_Mk2_C,input,Desc_Computer_C,Computer,20.0,20,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_Mk2_C,input,Desc_ModularFrameHeavy_C,Heavy Modular Frame,10.0,10,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_Mk2_C,input,Desc_Rubber_C,Rubber,100.0,100,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_Mk3_C,input,Desc_FicsiteMesh_C,Ficsite Trigon,100.0,100,items,docs_a81d250e96aa
