recipe_id,display_name,building_class,building_display_name,produced_amount,ingredient_count,gameplay_tags,full_name,game_build_id,source_id
Recipe_AlienPowerBuilding_C,Alien Power Augmenter,Desc_AlienPowerBuilding_C,,1,6,(),BlueprintGeneratedClass /Game/FactoryGame/Recipes/Buildings/Recipe_AlienPowerBuilding.Recipe_AlienPowerBuilding_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_AssemblerMk1_C,Assembler,Desc_AssemblerMk1_C,,1,3,(),BlueprintGeneratedClass /Game/FactoryGame/Recipes/Buildings/Recipe_AssemblerMk1.Recipe_AssemblerMk1_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Barrier_Corner_C,Corner Road Barrier,Desc_Barrier_Corner_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Recipes/Buildings/Fence/Recipe_Barrier_Corner.Recipe_Barrier_Corner_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Barrier_Low_01_C,Low Barrier,Desc_Barrier_Low_01_C,,1,2,(),BlueprintGeneratedClass /Game/FactoryGame/Recipes/Buildings/Fence/Recipe_Barrier_Low_01.Recipe_Barrier_Low_01_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Barrier_Tall_01_C,High Barrier,Desc_Barrier_Tall_01_C,,1,2,(),BlueprintGeneratedClass /Game/FactoryGame/Recipes/Buildings/Fence/Recipe_Barrier_Tall_01.Recipe_Barrier_Tall_01_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_C,Metal Beam,Desc_Beam_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam.Recipe_Beam_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_Cable_C,Braided Cable,Desc_Beam_Cable_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_Cable.Recipe_Beam_Cable_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_Cable_Cluster_C,Braided Cable Cluster,Desc_Beam_Cable_Cluster_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_Cable_Cluster.Recipe_Beam_Cable_Cluster_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_Concrete_C,Round Concrete Beam,Desc_Beam_Concrete_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_Concrete.Recipe_Beam_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_Connector_C,Beam Connector,Desc_Beam_Connector_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_Connector.Recipe_Beam_Connector_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_Connector_Double_C,Double Beam Connector,Desc_Beam_Connector_Double_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_Connector_Double.Recipe_Beam_Connector_Double_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_Cross_C,Cross Beam,Desc_Beam_Cross_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_Cross.Recipe_Beam_Cross_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_H_C,H-Beam,Desc_Beam_H_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_H.Recipe_Beam_H_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_Painted_C,Painted Beam,Desc_Beam_Painted_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_Painted.Recipe_Beam_Painted_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_Shelf_C,Shelf Beam,Desc_Beam_Shelf_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_Shelf.Recipe_Beam_Shelf_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Beam_Support_C,Beam Support,Desc_Beam_Support_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Prototype/Buildable/Beams/Recipe_Beam_Support.Recipe_Beam_Support_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_BigGarageDoor_16x8_C,Roll-Up Gate,Desc_BigGarageDoor_16x8_C,,1,2,(),BlueprintGeneratedClass /Game/FactoryGame/Buildable/Building/Doors/Recipe_BigGarageDoor_16x8.Recipe_BigGarageDoor_16x8_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_BigGarageDoor_16x8_Concrete_C,Roll-Up Gate,Desc_BigGarageDoor_16x8_Concrete_C,,1,1,(),BlueprintGeneratedClass /Game/FactoryGame/Buildable/Building/Doors/Recipe_BigGarageDoor_16x8_Concrete.Recipe_BigGarageDoor_16x8_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_BigGarageDoor_16x8_Steel_C,Roll-Up Gate,Desc_BigGarageDoor_16x8_Steel_C,,1,2,(),BlueprintGeneratedClass /Game/FactoryGame/Buildable/Building/Doors/Recipe_BigGarageDoor_16x8_Steel.Recipe_BigGarageDoor_16x8_Steel_C,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Blender_C,Blender,Desc_Blender_C,,1,4,(),BlueprintGeneratedClass /Game/FactoryGame/Recipes/Buildings/Recipe_Blender.Recipe_Blender_C,docs_a81d250e96aa,local_game_docs_en_us
