poi_id,cost_type,item,amount,requirement_source,notes
poi_502094_0001,,Desc_ModularFrameLightweight_C,6,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0002,EFGDropPodUnlockCostType::Item,Desc_Rotor_C,4,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0003,EFGDropPodUnlockCostType::Item,Desc_ModularFrame_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0004,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0005,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0006,EFGDropPodUnlockCostType::Item,Desc_AluminumCasing_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0007,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0008,EFGDropPodUnlockCostType::Item,Desc_Gunpowder_C,2,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0009,EFGDropPodUnlockCostType::Item,Desc_ModularFrame_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0010,EFGDropPodUnlockCostType::Item,Desc_QuartzCrystal_C,25,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0011,EFGDropPodUnlockCostType::Item,Desc_AluminumPlateReinforced_C,17,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0012,EFGDropPodUnlockCostType::Item,Desc_ElectromagneticControlRod_C,25,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0013,EFGDropPodUnlockCostType::Item,Desc_Silica_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0014,,Desc_ModularFrameHeavy_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0015,EFGDropPodUnlockCostType::Item,Desc_Rotor_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0016,EFGDropPodUnlockCostType::Item,Desc_MotorLightweight_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0017,EFGDropPodUnlockCostType::Item,Desc_Plastic_C,20,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0018,EFGDropPodUnlockCostType::Item,Desc_CoolingSystem_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0019,EFGDropPodUnlockCostType::Item,Desc_ModularFrameHeavy_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0020,EFGDropPodUnlockCostType::Item,Desc_Rubber_C,35,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0021,EFGDropPodUnlockCostType::Item,Desc_MotorLightweight_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0022,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0023,EFGDropPodUnlockCostType::Item,Desc_AluminumPlate_C,57,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0024,EFGDropPodUnlockCostType::Item,Desc_Stator_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0025,EFGDropPodUnlockCostType::Item,Desc_CopperSheet_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0026,EFGDropPodUnlockCostType::Item,Desc_Rubber_C,15,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0027,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0028,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0029,EFGDropPodUnlockCostType::Item,Desc_AluminumCasing_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0030,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0031,EFGDropPodUnlockCostType::Item,Desc_CoolingSystem_C,25,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0032,EFGDropPodUnlockCostType::Item,Desc_IronRod_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0033,EFGDropPodUnlockCostType::Item,Desc_HighSpeedWire_C,25,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0034,EFGDropPodUnlockCostType::Item,Desc_SteelPlateReinforced_C,15,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0035,EFGDropPodUnlockCostType::Item,Desc_ModularFrameHeavy_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0036,EFGDropPodUnlockCostType::Item,Desc_Motor_C,30,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0037,EFGDropPodUnlockCostType::Item,Desc_Rubber_C,20,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0038,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0039,EFGDropPodUnlockCostType::Item,Desc_AluminumPlateReinforced_C,25,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0040,EFGDropPodUnlockCostType::Item,Desc_Computer_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0041,EFGDropPodUnlockCostType::Item,Desc_ModularFrame_C,20,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0042,EFGDropPodUnlockCostType::Item,Desc_ElectromagneticControlRod_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0043,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0044,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0045,EFGDropPodUnlockCostType::Item,Desc_Computer_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0046,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0047,EFGDropPodUnlockCostType::Item,Desc_Biofuel_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0048,EFGDropPodUnlockCostType::Item,Desc_SteelPlateReinforced_C,15,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
