poi_id,hazard_json,hazard_source,inference_not_placement
poi_502094_0001,"{""hostiles_nearby"":{""Desc_StingerAlpha_C"":1,""Desc_StingerSmall_C"":3},""nearest_hostile_cm"":848.6,""nearest_uranium_cm"":1494.4}",SatisfactoryMCP inferred hazard context,true
poi_502094_0002,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_HogAlpha_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":1899.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0003,"{""hostiles_nearby"":{""Desc_SpitterDesert_Small_C"":2},""spawns_here"":[""Desc_SpitterDesert_Small_C""],""nearest_hostile_cm"":1012.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0004,"{""hostiles_nearby"":{""Desc_HogCliff_C"":3},""spawns_here"":[""Desc_HogCliff_C""],""nearest_hostile_cm"":1020.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0005,"{""hostiles_nearby"":{""Desc_HogBasic_C"":1,""Desc_SpitterForest_Small_C"":2},""nearest_hostile_cm"":3505.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0006,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":1390.0,""nearest_nuclear_hog_spawner_cm"":1390.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0007,"{""hostiles_nearby"":{""Desc_StingerAlpha_C"":1},""nearest_hostile_cm"":4332.5,""nearest_gas_cm"":1369.9,""nearest_gas_class"":""BP_GasPillar_03_C"",""nearest_uranium_cm"":402.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0008,"{""hostiles_nearby"":{""Desc_HogBasic_C"":1,""Desc_SpitterForest_Small_C"":1},""nearest_hostile_cm"":969.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0010,"{""hostiles_nearby"":{""Char_BigCrabHatcher_C"":2,""Desc_HogCliff_C"":2,""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":1032.6,""nearest_gas_cm"":4371.9,""nearest_gas_class"":""BP_GasPillar_02_C"",""nearest_nuclear_hog_spawner_cm"":1032.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0011,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":2,""Desc_StingerElite_C"":1},""spawns_here"":[""Desc_HogNuclear_C""],""nearest_hostile_cm"":1708.3,""nearest_uranium_cm"":265.5,""nearest_nuclear_hog_spawner_cm"":1708.3}",SatisfactoryMCP inferred hazard context,true
