recipe_id,direction,item_id,item_name,amount_per_cycle_raw,amount_per_cycle,unit,rate_per_min,game_build_id
Recipe_IronPlate_C,input,Desc_IronIngot_C,Iron Ingot,3.0,3.0,items,30.0,docs_a81d250e96aa
Recipe_IronPlate_C,output,Desc_IronPlate_C,Iron Plate,2.0,2.0,items,20.0,docs_a81d250e96aa
Recipe_IronRod_C,input,Desc_IronIngot_C,Iron Ingot,1.0,1.0,items,15.0,docs_a81d250e96aa
Recipe_IronRod_C,output,Desc_IronRod_C,Iron Rod,1.0,1.0,items,15.0,docs_a81d250e96aa
Recipe_IngotIron_C,input,Desc_OreIron_C,Iron Ore,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_IngotIron_C,output,Desc_IronIngot_C,Iron Ingot,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_Biomass_Leaves_C,input,Desc_Leaves_C,Leaves,10.0,10.0,items,120.0,docs_a81d250e96aa
Recipe_Biomass_Leaves_C,output,Desc_GenericBiomass_C,Biomass,5.0,5.0,items,60.0,docs_a81d250e96aa
Recipe_Biomass_Wood_C,input,Desc_Wood_C,Wood,4.0,4.0,items,60.0,docs_a81d250e96aa
Recipe_Biomass_Wood_C,output,Desc_GenericBiomass_C,Biomass,20.0,20.0,items,300.0,docs_a81d250e96aa
Recipe_Cable_C,input,Desc_Wire_C,Wire,2.0,2.0,items,60.0,docs_a81d250e96aa
Recipe_Cable_C,output,Desc_Cable_C,Cable,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_Wire_C,input,Desc_CopperIngot_C,Copper Ingot,1.0,1.0,items,15.0,docs_a81d250e96aa
Recipe_Wire_C,output,Desc_Wire_C,Wire,2.0,2.0,items,30.0,docs_a81d250e96aa
Recipe_IngotCopper_C,input,Desc_OreCopper_C,Copper Ore,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_IngotCopper_C,output,Desc_CopperIngot_C,Copper Ingot,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_Concrete_C,input,Desc_Stone_C,Limestone,3.0,3.0,items,45.0,docs_a81d250e96aa
Recipe_Concrete_C,output,Desc_Cement_C,Concrete,1.0,1.0,items,15.0,docs_a81d250e96aa
Recipe_IronPlateReinforced_C,input,Desc_IronPlate_C,Iron Plate,6.0,6.0,items,30.0,docs_a81d250e96aa
Recipe_IronPlateReinforced_C,input,Desc_IronScrew_C,Screws,12.0,12.0,items,60.0,docs_a81d250e96aa
Recipe_IronPlateReinforced_C,output,Desc_IronPlateReinforced_C,Reinforced Iron Plate,1.0,1.0,items,5.0,docs_a81d250e96aa
Recipe_Screw_C,input,Desc_IronRod_C,Iron Rod,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Screw_C,output,Desc_IronScrew_C,Screws,4.0,4.0,items,40.0,docs_a81d250e96aa
Recipe_SteelBeam_C,input,Desc_SteelIngot_C,Steel Ingot,4.0,4.0,items,60.0,docs_a81d250e96aa
Recipe_SteelBeam_C,output,Desc_SteelPlate_C,Steel Beam,1.0,1.0,items,15.0,docs_a81d250e96aa
Recipe_SteelPipe_C,input,Desc_SteelIngot_C,Steel Ingot,3.0,3.0,items,30.0,docs_a81d250e96aa
Recipe_SteelPipe_C,output,Desc_SteelPipe_C,Steel Pipe,2.0,2.0,items,20.0,docs_a81d250e96aa
Recipe_IngotSteel_C,input,Desc_OreIron_C,Iron Ore,3.0,3.0,items,45.0,docs_a81d250e96aa
Recipe_IngotSteel_C,input,Desc_Coal_C,Coal,3.0,3.0,items,45.0,docs_a81d250e96aa
Recipe_IngotSteel_C,output,Desc_SteelIngot_C,Steel Ingot,3.0,3.0,items,45.0,docs_a81d250e96aa
Recipe_SpaceElevatorPart_2_C,input,Desc_ModularFrame_C,Modular Frame,1.0,1.0,items,2.5,docs_a81d250e96aa
Recipe_SpaceElevatorPart_2_C,input,Desc_SteelPlate_C,Steel Beam,12.0,12.0,items,30.0,docs_a81d250e96aa
Recipe_SpaceElevatorPart_2_C,output,Desc_SpaceElevatorPart_2_C,Versatile Framework,2.0,2.0,items,5.0,docs_a81d250e96aa
Recipe_Silica_C,input,Desc_RawQuartz_C,Raw Quartz,3.0,3.0,items,22.5,docs_a81d250e96aa
Recipe_Silica_C,output,Desc_Silica_C,Silica,5.0,5.0,items,37.5,docs_a81d250e96aa
Recipe_ResidualFuel_C,input,Desc_HeavyOilResidue_C,Heavy Oil Residue,6000.0,6.0,m3,60.0,docs_a81d250e96aa
Recipe_ResidualFuel_C,output,Desc_LiquidFuel_C,Fuel,4000.0,4.0,m3,40.0,docs_a81d250e96aa
Recipe_Plastic_C,input,Desc_LiquidOil_C,Crude Oil,3000.0,3.0,m3,30.0,docs_a81d250e96aa
Recipe_Plastic_C,output,Desc_Plastic_C,Plastic,2.0,2.0,items,20.0,docs_a81d250e96aa
Recipe_Plastic_C,output,Desc_HeavyOilResidue_C,Heavy Oil Residue,1000.0,1.0,m3,10.0,docs_a81d250e96aa
Recipe_CircuitBoard_C,input,Desc_CopperSheet_C,Copper Sheet,2.0,2.0,items,15.0,docs_a81d250e96aa
Recipe_CircuitBoard_C,input,Desc_Plastic_C,Plastic,4.0,4.0,items,30.0,docs_a81d250e96aa
Recipe_CircuitBoard_C,output,Desc_CircuitBoard_C,Circuit Board,1.0,1.0,items,7.5,docs_a81d250e96aa
Recipe_Rubber_C,input,Desc_LiquidOil_C,Crude Oil,3000.0,3.0,m3,30.0,docs_a81d250e96aa
Recipe_Rubber_C,output,Desc_Rubber_C,Rubber,2.0,2.0,items,20.0,docs_a81d250e96aa
Recipe_Rubber_C,output,Desc_HeavyOilResidue_C,Heavy Oil Residue,2000.0,2.0,m3,20.0,docs_a81d250e96aa
