recipe_id,producer_class,producer_name,game_build_id
Recipe_IronPlate_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_IronRod_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_IngotIron_C,Build_SmelterMk1_C,Smelter,docs_a81d250e96aa
Recipe_Biomass_Leaves_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Biomass_Wood_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Cable_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Wire_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_IngotCopper_C,Build_SmelterMk1_C,Smelter,docs_a81d250e96aa
Recipe_Concrete_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_IronPlateReinforced_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Screw_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_SteelBeam_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_SteelPipe_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_IngotSteel_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_SpaceElevatorPart_2_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Silica_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_ResidualFuel_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Plastic_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_CircuitBoard_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Rubber_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_ResidualRubber_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_LiquidFuel_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_ResidualPlastic_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_PetroleumCoke_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_EncasedIndustrialBeam_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Motor_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Stator_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_SpaceElevatorPart_3_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Quickwire_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_QuartzCrystal_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_CrystalOscillator_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_SpikedRebar_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_NitricAcid_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Nobelisk_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_PlutoniumFuelRod_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_PlutoniumCell_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_PressureConversionCube_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Plutonium_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_NonFissileUranium_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_CopperDust_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_SpaceElevatorPart_9_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_PackagedNitricAcid_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageNitricAcid_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_TimeCrystal_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Diamond_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_SAMFluctuator_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_IngotSAM_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Coal_Iron_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Coal_Limestone_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Copper_Quartz_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Iron_Limestone_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Quartz_Coal_C,Build_Converter_C,Converter,docs_a81d250e96aa
