recipe_id,producer_class,vp_const_mw,vp_factor_mw,power_min_mw,power_max_mw,power_mean_mw,game_build_id,source_id,verified_on
Recipe_AlienPowerFuel_C,Build_QuantumEncoder_C,0,2000,0,2000,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Alternate_DarkMatter_Crystallization_C,Build_HadronCollider_C,500,1000,500,1500,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Alternate_DarkMatter_Trap_C,Build_HadronCollider_C,500,1000,500,1500,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Alternate_Diamond_Cloudy_C,Build_HadronCollider_C,250,500,250,750,500,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Alternate_Diamond_OilBased_C,Build_HadronCollider_C,250,500,250,750,500,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Alternate_Diamond_Petroleum_C,Build_HadronCollider_C,250,500,250,750,500,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Alternate_Diamond_Pink_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Alternate_Diamond_Turbo_C,Build_HadronCollider_C,250,500,250,750,500,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Alternate_InstantPlutoniumCell_C,Build_HadronCollider_C,250,500,250,750,500,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Alternate_IonizedFuel_Dark_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Bauxite_Caterium_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Bauxite_Copper_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Caterium_Copper_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Caterium_Quartz_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Coal_Iron_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Coal_Limestone_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Copper_Quartz_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Copper_Sulfur_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_DarkEnergy_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_DarkMatter_C,Build_HadronCollider_C,500,1000,500,1500,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Diamond_C,Build_HadronCollider_C,250,500,250,750,500,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_FicsiteIngot_AL_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_FicsiteIngot_CAT_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_FicsiteIngot_Iron_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_FicsoniumFuelRod_C,Build_QuantumEncoder_C,0,2000,0,2000,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Ficsonium_C,Build_HadronCollider_C,500,1000,500,1500,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Iron_Limestone_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Limestone_Sulfur_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Nitrogen_Bauxite_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Nitrogen_Caterium_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Plutonium_C,Build_HadronCollider_C,250,500,250,750,500,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_QuantumEnergy_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Quartz_Bauxite_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Quartz_Coal_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_SpaceElevatorPart_12_C,Build_QuantumEncoder_C,0,2000,0,2000,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_SpaceElevatorPart_9_C,Build_HadronCollider_C,500,1000,500,1500,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Sulfur_Coal_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Sulfur_Iron_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_SuperpositionOscillator_C,Build_QuantumEncoder_C,0,2000,0,2000,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_SyntheticPowerShard_C,Build_QuantumEncoder_C,0,2000,0,2000,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_TemporalProcessor_C,Build_QuantumEncoder_C,0,2000,0,2000,1000,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_TimeCrystal_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
Recipe_Uranium_Bauxite_C,Build_Converter_C,100,300,100,400,250,docs_a81d250e96aa,local_game_docs_en_us,2026-09-18
