recipe_id,display_name,is_alternate,manufacturing_duration_sec,manual_manufacturing_multiplier,gameplay_tags,full_name,producer_count,game_build_id,source_id
Recipe_IronPlate_C,Iron Plate,false,6.0,1.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Constructor/Recipe_IronPlate.Recipe_IronPlate_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_IronRod_C,Iron Rod,false,4.0,0.500000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Constructor/Recipe_IronRod.Recipe_IronRod_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_IngotIron_C,Iron Ingot,false,2.0,3.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Smelter/Recipe_IngotIron.Recipe_IngotIron_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Biomass_Leaves_C,Biomass (Leaves),false,5.0,0.400000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Constructor/Recipe_Biomass_Leaves.Recipe_Biomass_Leaves_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Biomass_Wood_C,Biomass (Wood),false,4.0,1.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Constructor/Recipe_Biomass_Wood.Recipe_Biomass_Wood_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Cable_C,Cable,false,2.0,1.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Constructor/Recipe_Cable.Recipe_Cable_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Wire_C,Wire,false,4.0,1.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Constructor/Recipe_Wire.Recipe_Wire_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_IngotCopper_C,Copper Ingot,false,2.0,3.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Smelter/Recipe_IngotCopper.Recipe_IngotCopper_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Concrete_C,Concrete,false,4.0,1.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Constructor/Recipe_Concrete.Recipe_Concrete_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_IronPlateReinforced_C,Reinforced Iron Plate,false,12.0,1.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Assembler/Recipe_IronPlateReinforced.Recipe_IronPlateReinforced_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_Screw_C,Screws,false,6.0,1.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Constructor/Recipe_Screw.Recipe_Screw_C,1,docs_a81d250e96aa,local_game_docs_en_us
Recipe_SteelBeam_C,Steel Beam,false,4.0,1.000000,"(GameplayTags=((TagName=""Recipe.Part"")))",BlueprintGeneratedClass /Game/FactoryGame/Recipes/Constructor/Recipe_SteelBeam.Recipe_SteelBeam_C,1,docs_a81d250e96aa,local_game_docs_en_us
