schematic_id,item_id,item_name,amount,game_build_id
Schematic_Tutorial1_C,Desc_IronRod_C,Iron Rod,10.0,docs_a81d250e96aa
Schematic_Tutorial1_5_C,Desc_IronRod_C,Iron Rod,20.0,docs_a81d250e96aa
Schematic_Tutorial1_5_C,Desc_IronPlate_C,Iron Plate,10.0,docs_a81d250e96aa
Schematic_Tutorial2_C,Desc_IronPlate_C,Iron Plate,20.0,docs_a81d250e96aa
Schematic_Tutorial2_C,Desc_IronRod_C,Iron Rod,20.0,docs_a81d250e96aa
Schematic_Tutorial2_C,Desc_Wire_C,Wire,20.0,docs_a81d250e96aa
Schematic_Tutorial3_C,Desc_IronPlate_C,Iron Plate,75.0,docs_a81d250e96aa
Schematic_Tutorial3_C,Desc_Cable_C,Cable,20.0,docs_a81d250e96aa
Schematic_Tutorial3_C,Desc_Cement_C,Concrete,10.0,docs_a81d250e96aa
Schematic_Tutorial4_C,Desc_IronRod_C,Iron Rod,75.0,docs_a81d250e96aa
Schematic_Tutorial4_C,Desc_Cable_C,Cable,50.0,docs_a81d250e96aa
Schematic_Tutorial4_C,Desc_Cement_C,Concrete,20.0,docs_a81d250e96aa
Schematic_Tutorial5_C,Desc_IronRod_C,Iron Rod,100.0,docs_a81d250e96aa
Schematic_Tutorial5_C,Desc_IronPlate_C,Iron Plate,100.0,docs_a81d250e96aa
Schematic_Tutorial5_C,Desc_Wire_C,Wire,100.0,docs_a81d250e96aa
Schematic_Tutorial5_C,Desc_Cement_C,Concrete,50.0,docs_a81d250e96aa
Schematic_Sanctum2_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Schematic_Sanctum_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Schematic_LeMichael_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Schematic_JoelSyntholm_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Schematic_Ficsday2025_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Schematic_AbsoluteFicsit_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Research_Quartz_1_2_C,Desc_RawQuartz_C,Raw Quartz,20.0,docs_a81d250e96aa
Schematic_3-4_C,Desc_ModularFrame_C,Modular Frame,50.0,docs_a81d250e96aa
Schematic_3-4_C,Desc_Rotor_C,Rotor,150.0,docs_a81d250e96aa
Schematic_3-4_C,Desc_Cement_C,Concrete,500.0,docs_a81d250e96aa
