schematic_id,recipe_id,unlock_class,game_build_id
Schematic_StartingRecipes_C,Recipe_IngotIron_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_StartingRecipes_C,Recipe_IronPlate_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_StartingRecipes_C,Recipe_IronRod_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_StartingRecipes_C,Recipe_TradingPost_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_StartingRecipes_C,Recipe_XenoZapper_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_StartingRecipes_C,Recipe_WorkBench_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Fence_01_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Wall_Window_8x4_03_Steel_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Wall_Conveyor_8x4_04_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Wall_Conveyor_8x4_04_Steel_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_JumpPad_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_JumpPadTilted_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Walkway_Straight_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Walkway_Cross_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Walkway_T_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Walkway_Ramp_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Walkway_Turn_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_PillarTop_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_SteelWall_8x4_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Stairs_Left_01_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_SaveCompatibility_C,Recipe_Stairs_Right_01_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial1_C,Recipe_Workshop_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial1_C,Recipe_PortableMiner_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial1_5_C,Recipe_SmelterBasicMk1_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial1_5_C,Recipe_PowerLine_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial1_5_C,Recipe_IngotCopper_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial1_5_C,Recipe_Wire_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial1_5_C,Recipe_Cable_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial2_C,Recipe_ConstructorMk1_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial2_C,Recipe_PowerPoleMk1_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial2_C,Recipe_Concrete_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial2_C,Recipe_Screw_C,BP_UnlockRecipe_C,docs_a81d250e96aa
Schematic_Tutorial2_C,Recipe_IronPlateReinforced_C,BP_UnlockRecipe_C,docs_a81d250e96aa
