schematic_id,display_name,schematic_type,tech_tier,time_to_complete_sec,dependencies_block_access,hidden_until_dependencies_met,include_in_builds,full_name,game_build_id,source_id
Schematic_StartingRecipes_C,Starting Blueprints,EST_Custom,0,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Schematic_StartingRecipes.Schematic_StartingRecipes_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_SaveCompatibility_C,Save Compatibility,EST_Custom,0,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Schematic_SaveCompatibility.Schematic_SaveCompatibility_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Tutorial1_C,HUB Upgrade 1,EST_Tutorial,0,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tutorial/Schematic_Tutorial1.Schematic_Tutorial1_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Tutorial1_5_C,HUB Upgrade 2,EST_Tutorial,0,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tutorial/Schematic_Tutorial1_5.Schematic_Tutorial1_5_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Tutorial2_C,HUB Upgrade 3,EST_Tutorial,0,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tutorial/Schematic_Tutorial2.Schematic_Tutorial2_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Tutorial3_C,HUB Upgrade 4,EST_Tutorial,0,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tutorial/Schematic_Tutorial3.Schematic_Tutorial3_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Tutorial4_C,HUB Upgrade 5,EST_Tutorial,0,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tutorial/Schematic_Tutorial4.Schematic_Tutorial4_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Tutorial5_C,HUB Upgrade 6,EST_Tutorial,0,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tutorial/Schematic_Tutorial5.Schematic_Tutorial5_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_SongsOfConquest_C,Songs of Conquest Boombox Tape,EST_Custom,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_SongsOfConquest.Schematic_SongsOfConquest_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Sanctum2_C,Sanctum 2 Boombox Tape,EST_ResourceSink,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_Sanctum2.Schematic_Sanctum2_C,docs_a81d250e96aa,local_game_docs_en_us
