source_id,resource_id,purity,source_kind,east_m,north_m,up_m,base_mk1_rate_min,produces_resource,parent_source_id,world_scope,provenance
standard_node_001,iron,normal,node,-2638.73,308.48,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_002,iron,normal,node,-2601.1,276.74,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_003,iron,normal,node,-2562.44,295.64,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_004,iron,normal,node,-2591.2,446.89,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_005,iron,normal,node,-2613.58,412.28,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_018,iron,normal,node,-2584.33,405.61,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_128,copper,normal,node,-2682.64,549.91,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_129,copper,normal,node,-2667.12,513.18,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_136,copper,normal,node,-2813.46,720.0,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_183,limestone,normal,node,-2808.37,420.89,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_184,limestone,normal,node,-2670.51,243.87,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_185,limestone,normal,node,-2733.21,196.67,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_197,limestone,normal,node,-2313.9,895.3,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_198,limestone,normal,node,-1949.06,257.8,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_199,limestone,normal,node,-2687.88,790.95,,60,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_202,limestone,pure,node,-2614.96,1164.93,,120,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_452,bauxite,pure,node,-2170.52,-112.42,,120,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_019,iron,pure,node,-2500.8,1263.63,,120,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_020,iron,pure,node,-2520.33,1250.01,,120,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
standard_node_024,iron,pure,node,-2274.11,1188.62,,120,true,,rocky_desert_known_subset,rocky_desert_functional_district_assignments.csv; rocky_desert_district_nearby_inventory_800m.csv
