strategy_profile_id,gate_id,resource_id,target_min,unit,scope,parameterized
relaxed_districted_v1,before_phase_1,iron,240,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_1,copper,120,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_1,limestone,180,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_2,iron,720,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_2,copper,360,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_2,limestone,270,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_2,coal,540,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_3,iron,840,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_3,copper,600,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_3,limestone,540,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_3,coal,600,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_3,crude_oil,450,m3/min,world_planning_target,true
relaxed_districted_v1,before_phase_4,iron,1080,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_4,copper,720,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_4,limestone,720,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_4,coal,720,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_4,crude_oil,450,m3/min,world_planning_target,true
relaxed_districted_v1,before_phase_4,bauxite,480,items/min,world_planning_target,true
relaxed_districted_v1,before_phase_4,nitrogen_gas,300,m3/min,world_planning_target,true
relaxed_districted_v1,finish,iron,1800,items/min,world_planning_target,true
relaxed_districted_v1,finish,copper,1200,items/min,world_planning_target,true
relaxed_districted_v1,finish,limestone,1200,items/min,world_planning_target,true
relaxed_districted_v1,finish,coal,1500,items/min,world_planning_target,true
relaxed_districted_v1,finish,crude_oil,600,m3/min,world_planning_target,true
relaxed_districted_v1,finish,bauxite,600-720,items/min,world_planning_target,true
relaxed_districted_v1,finish,nitrogen_gas,600,m3/min,world_planning_target,true
