assignment_id,strategy_profile_id,source_id,district_id,site_id,role,commitment_class,share_policy,exclusive_assignment,activation_condition,note,parameterized,legacy_label,provenance
rocky_assign_001,rocky_baseline_v1,standard_node_018,rocky_desert_a,,starter iron cluster,active_initial,exclusive,true,,"Six normal Iron nodes belong to the starter district; use four initially (240/min), hold two for local expansion.",true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_002,rocky_baseline_v1,standard_node_005,rocky_desert_a,,starter iron cluster,local_reserve,exclusive,true,,"Six normal Iron nodes belong to the starter district; use four initially (240/min), hold two for local expansion.",true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_003,rocky_baseline_v1,standard_node_004,rocky_desert_a,,starter iron cluster,local_reserve,exclusive,true,,"Six normal Iron nodes belong to the starter district; use four initially (240/min), hold two for local expansion.",true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_004,rocky_baseline_v1,standard_node_001,rocky_desert_a,,starter iron cluster,active_initial,exclusive,true,,"Six normal Iron nodes belong to the starter district; use four initially (240/min), hold two for local expansion.",true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_005,rocky_baseline_v1,standard_node_003,rocky_desert_a,,starter iron cluster,active_initial,exclusive,true,,"Six normal Iron nodes belong to the starter district; use four initially (240/min), hold two for local expansion.",true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_006,rocky_baseline_v1,standard_node_002,rocky_desert_a,,starter iron cluster,active_initial,exclusive,true,,"Six normal Iron nodes belong to the starter district; use four initially (240/min), hold two for local expansion.",true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_007,rocky_baseline_v1,standard_node_129,rocky_desert_a,,starter feed,active_initial,exclusive,true,,,true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_008,rocky_baseline_v1,standard_node_128,rocky_desert_a,,starter feed,active_initial,exclusive,true,,,true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_009,rocky_baseline_v1,standard_node_184,rocky_desert_a,,starter feed,active_initial,exclusive,true,,,true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_010,rocky_baseline_v1,standard_node_183,rocky_desert_a,,starter feed,active_initial,exclusive,true,,,true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
