district_phase_resource_id,district_phase_id,district_id,source_id,resource_id,baseline_mk1_rate_min,assignment_commitment_class,state,confidence,notes
rocky_a1_standard_node_018,rocky_a1,rocky_desert_a,standard_node_018,iron,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a2_standard_node_005,rocky_a2,rocky_desert_a,standard_node_005,iron,60,local_reserve,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a2_standard_node_004,rocky_a2,rocky_desert_a,standard_node_004,iron,60,local_reserve,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a1_standard_node_001,rocky_a1,rocky_desert_a,standard_node_001,iron,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a1_standard_node_003,rocky_a1,rocky_desert_a,standard_node_003,iron,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a1_standard_node_002,rocky_a1,rocky_desert_a,standard_node_002,iron,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a1_standard_node_129,rocky_a1,rocky_desert_a,standard_node_129,copper,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a1_standard_node_128,rocky_a1,rocky_desert_a,standard_node_128,copper,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a1_standard_node_184,rocky_a1,rocky_desert_a,standard_node_184,limestone,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a1_standard_node_183,rocky_a1,rocky_desert_a,standard_node_183,limestone,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_a1_standard_node_185,rocky_a1,rocky_desert_a,standard_node_185,limestone,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_b0_standard_node_338,rocky_b0,rocky_desert_b,standard_node_338,coal,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
rocky_b0_standard_node_336,rocky_b0,rocky_desert_b,standard_node_336,coal,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_358,,rocky_desert_b,standard_node_358,coal,30,expansion_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_357,,rocky_desert_b,standard_node_357,coal,30,expansion_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_006,,rocky_desert_c,standard_node_006,iron,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_007,,rocky_desert_c,standard_node_007,iron,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
