poi_id,poi_type,source_object_id,source_cell,source_category,source_class,east_m,north_m,elevation_m,source_game_build,source_sha256
poi_502094_0001,crash_site,Persistent_Level:PersistentLevel.BP_DropPod2_10,08JGCX3NZ77YP1G4X0QBJ1GZ0,crashed_drop_pod,BP_DropPod_C,-782.364,-908.57,203.058,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0002,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_0,0HH0P11CB4KN8JME62HOE0I4Y,crashed_drop_pod,BP_DropPod_C,-1236.774,1671.075,297.107,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0003,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_3,0I32DKV9HOOXGL9ULFBPIW8IT,crashed_drop_pod,BP_DropPod_C,-1460.441,1370.475,23.578,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0004,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_UAID_04421A9713F0486401_1144991453,0K0ZTOH4UELEGIRIIYOENF4US,crashed_drop_pod,BP_DropPod_C,2415.32,-1313.43,171.57,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0005,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_6,0KYEUZ1LXKNL8QMY37BZBNLWM,crashed_drop_pod,BP_DropPod_C,1254.974,349.494,82.206,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0006,crash_site,Persistent_Level:PersistentLevel.BP_DropPod3_11,0L3U6CJKG4MQPRI2EOOXU0CBK,crashed_drop_pod,BP_DropPod_C,-401.941,-629.566,262.617,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0007,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_UAID_04421A9713F03B7C01_1559404536,0PTNLAI4TEAYU9U0PPRODZVOZ,crashed_drop_pod,BP_DropPod_C,1159.78,-214.24,155.19,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0008,crash_site,Persistent_Level:PersistentLevel.BP_DropPod12,118RVQAVO1O8L58KLOCF7U88C,crashed_drop_pod,BP_DropPod_C,-47.068,763.02,136.185,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0009,crash_site,Persistent_Level:PersistentLevel.BP_DropPod34,12FREXY9ZM3BL66PD3JIM6MDZ,crashed_drop_pod,BP_DropPod_C,-1522.79,-2295.2,10.52,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0010,crash_site,Persistent_Level:PersistentLevel.BP_DropPod10,16GEMFDCR18T1QGXOOA5T2NV5,crashed_drop_pod,BP_DropPod_C,2321.38,-271.91,-16.29,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0011,crash_site,Persistent_Level:PersistentLevel.BP_DropPod4_8033,1ANJT85V0S3IAAUY88J6GS698,crashed_drop_pod,BP_DropPod_C,1444.565,-362.94,173.013,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0012,crash_site,Persistent_Level:PersistentLevel.BP_DropPod29_27444,1GMCIX8T3J8XWW4Q8HOMZGGWU,crashed_drop_pod,BP_DropPod_C,942.67,-472.37,94.35,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
