socket_id,source_object_id,source_class,source_kind,east_m,north_m,elevation_m,core_socket_id,source_game_build,source_sha256
BP_FrackingCore10,Persistent_Level:PersistentLevel.BP_FrackingCore10,BP_FrackingCore_C,fracking_core,3166.6325,2905.5725,10.674666,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore11,Persistent_Level:PersistentLevel.BP_FrackingCore11,BP_FrackingCore_C,fracking_core,1857.097969,572.628281,53.963594,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore12,Persistent_Level:PersistentLevel.BP_FrackingCore12,BP_FrackingCore_C,fracking_core,2405.129688,697.230781,55.202983,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore13,Persistent_Level:PersistentLevel.BP_FrackingCore13,BP_FrackingCore_C,fracking_core,992.097969,-837.130312,100.733594,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore14,Persistent_Level:PersistentLevel.BP_FrackingCore14,BP_FrackingCore_C,fracking_core,1043.392344,-1458.0275,54.277148,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore15,Persistent_Level:PersistentLevel.BP_FrackingCore15,BP_FrackingCore_C,fracking_core,69.322344,-1871.8475,-106.492852,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore17,Persistent_Level:PersistentLevel.BP_FrackingCore17,BP_FrackingCore_C,fracking_core,-194.142031,-1731.960312,-1.976406,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore18,Persistent_Level:PersistentLevel.BP_FrackingCore18,BP_FrackingCore_C,fracking_core,-1082.642031,-735.360312,30.023594,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore2,Persistent_Level:PersistentLevel.BP_FrackingCore2,BP_FrackingCore_C,fracking_core,2159.235781,-1359.17875,-4.382728,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore3,Persistent_Level:PersistentLevel.BP_FrackingCore3,BP_FrackingCore_C,fracking_core,2236.183594,3115.030938,76.741055,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore4,Persistent_Level:PersistentLevel.BP_FrackingCore4,BP_FrackingCore_C,fracking_core,-2513.950312,1870.708594,-16.68124,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore5,Persistent_Level:PersistentLevel.BP_FrackingCore5,BP_FrackingCore_C,fracking_core,-1438.960312,-1221.971406,151.33876,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore6,Persistent_Level:PersistentLevel.BP_FrackingCore6,BP_FrackingCore_C,fracking_core,849.791215,-1045.254029,100.678884,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
